repo,tag,last_update
nvidia/cuda,11.0.3-base-ubuntu16.04,2022-05-28 06:32:39
nvidia/cuda,11.0.3-base-ubuntu18.04,2022-07-20 17:45:27
nvidia/cuda,11.0.3-base-ubuntu20.04,2022-07-20 00:45:12
nvidia/cuda,11.0.3-cudnn8-devel,2021-07-08 20:17:37
nvidia/cuda,11.0.3-cudnn8-devel-centos7,2022-07-20 17:28:53
nvidia/cuda,11.0.3-cudnn8-devel-centos8,2022-01-07 00:39:47
nvidia/cuda,11.0.3-cudnn8-devel-rockylinux8,2022-05-28 06:30:22
nvidia/cuda,11.0.3-cudnn8-devel-ubi7,2022-07-20 00:40:21
nvidia/cuda,11.0.3-cudnn8-devel-ubi8,2022-05-28 06:35:21
nvidia/cuda,11.0.3-cudnn8-devel-ubuntu16.04,2022-05-28 06:32:17
nvidia/cuda,11.0.3-cudnn8-devel-ubuntu18.04,2022-07-20 17:43:08
nvidia/cuda,11.0.3-cudnn8-devel-ubuntu20.04,2022-07-20 00:44:13
nvidia/cuda,11.0.3-cudnn8-runtime,2021-07-08 20:17:08
nvidia/cuda,11.0.3-cudnn8-runtime-centos7,2022-07-20 17:29:47
nvidia/cuda,11.0.3-cudnn8-runtime-centos8,2022-01-07 00:40:10
nvidia/cuda,11.0.3-cudnn8-runtime-rockylinux8,2022-05-28 06:30:43
nvidia/cuda,11.0.3-cudnn8-runtime-ubi7,2022-07-20 00:41:18
nvidia/cuda,11.0.3-cudnn8-runtime-ubi8,2022-05-28 06:36:04
nvidia/cuda,11.0.3-cudnn8-runtime-ubuntu16.04,2022-05-28 06:32:31
nvidia/cuda,11.0.3-cudnn8-runtime-ubuntu18.04,2022-07-20 17:45:01
nvidia/cuda,11.0.3-cudnn8-runtime-ubuntu20.04,2022-07-20 00:45:05
nvidia/cuda,11.0.3-devel,2021-07-08 20:19:28
nvidia/cuda,11.0.3-devel-centos7,2022-07-20 17:30:10
nvidia/cuda,11.0.3-devel-centos8,2022-01-07 00:42:19
nvidia/cuda,11.0.3-devel-rockylinux8,2022-05-28 06:31:28
nvidia/cuda,11.0.3-devel-ubi7,2022-07-20 00:41:44
nvidia/cuda,11.0.3-devel-ubi8,2022-05-28 06:37:38
